id,created_at,name,description,regular_price,image_url,max_capacity,discount
20,2024-09-11T21:33:30,Standard Twin Room,"Our Standard Twin Room provides cozy accommodations with two single beds, a private bathroom, and a work desk. Perfect for friends or family, this room is designed for comfort while being conveniently located near all hotel amenities, ensuring a pleasant and enjoyable stay.",370,https://via.placeholder.com/150,2,100
21,2024-02-06T12:43:14,Single Economy Room,"The Single Economy Room is a budget-friendly option featuring a single bed, an en-suite bathroom, and free Wi-Fi. Suitable for solo travelers looking for a comfortable yet affordable stay, this room provides all the essential amenities needed for a cozy retreat during short visits.",504,https://via.placeholder.com/150,2,
22,2024-01-02T17:30:47,Cozy Double Room,"A warm and inviting Cozy Double Room with a double bed and modern decor. Ideal for couples or solo travelers on a weekend trip, it features essential amenities and free Wi-Fi, ensuring a pleasant stay with all the comforts of home.",460,https://via.placeholder.com/150,2,
23,2024-08-10T00:55:09,Superior King Room,"The Superior King Room offers extra space with a luxurious king-sized bed, modern furnishings, and a large ensuite bathroom. Perfect for longer stays, this room provides comfort and style, ensuring that guests feel relaxed and at home during their visit.",468,https://via.placeholder.com/150,3,100
24,2024-01-04T03:22:24,Luxury Family Suite,"Our Luxury Family Suite features two bedrooms, a spacious living room, and a fully equipped kitchenette. Designed for families, this suite provides ample space and comfort, making it ideal for longer stays while allowing everyone to enjoy their time together in style.",437,https://via.placeholder.com/150,4,
25,2024-05-26T17:17:59,Economy Twin Room,"The Economy Twin Room is a simple and affordable option featuring two single beds, free Wi-Fi, and access to a shared bathroom. Ideal for budget travelers, this cozy room provides a comfortable place to rest after a day of exploring.",674,https://via.placeholder.com/150,2,
26,2024-01-08T22:01:22,Comfort Double Room,"Our Comfort Double Room is designed for a relaxing stay, featuring a queen-sized bed, a cozy seating area, and modern decor. With complimentary coffee and tea, this room ensures that guests have everything they need for a delightful and restful visit.",348,https://via.placeholder.com/150,3,
27,2024-02-07T23:00:33,Suite with City View,"The Suite with City View offers breathtaking sights of the city skyline, featuring a king-sized bed, a separate living room, and a luxurious marble bathroom. This suite is perfect for those seeking an upscale experience while enjoying the vibrant atmosphere of the city from the comfort of their room.",607,https://via.placeholder.com/150,4,
28,2024-01-06T02:00:40,Basic Twin Room,"Our Basic Twin Room provides a no-frills option with two twin beds, a TV, and a shared bathroom. Suitable for short stays or budget travelers, this room is designed to offer a comfortable place to unwind without compromising on value.",567,https://via.placeholder.com/150,2,100
29,2024-09-05T15:27:23,Luxury Executive Suite,"The Luxury Executive Suite features exclusive amenities including a spacious living area, a king-sized bed, and access to the executive lounge. Ideal for business travelers, this suite offers a combination of comfort and luxury to ensure a productive and enjoyable stay.",662,https://via.placeholder.com/150,2,
30,2024-01-12T15:22:38,Premier Family Room,"A spacious Premier Family Room featuring two double beds, a dining area, and a kitchenette. Perfect for families looking for extra comfort and convenience, this room provides a relaxing atmosphere while being conveniently located near attractions and hotel amenities.",406,https://via.placeholder.com/150,4,
